,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
405,50.23671250840674,27.378787768331748,25.342196535570164,20.454633629759464,19.744036977808555,15.031063287132048,13.662350487061406,11.800648057524043,12.306081551653598,14.516324865292527
406,50.335549397722566,27.319379360282706,25.654726657193127,20.589163102156153,19.87881773039368,15.170906613006828,13.973861691846595,11.943875656997507,12.617468387717688,14.314896451210762
407,50.708583367323165,27.47594846607325,25.443514162688135,20.567539013998648,19.857999627232616,14.983942400456199,13.450080830807602,11.931346362800433,12.436202877707007,14.641719599637177
408,50.708583367323165,27.10418702646387,25.443514162688135,20.567539013998648,19.50448044865,14.983942400456199,13.789578887321728,11.596054184447143,12.436202877707007,14.470901817044656
409,50.86541735899754,27.074582486149133,25.4158585937826,20.723206334325052,19.660101558609046,15.139362730469939,13.944944989352148,11.416766253558208,12.255060534784773,13.775091584632495
410,50.963018856490315,27.016103703846643,25.544361455150085,20.856372070059503,19.794425064028875,15.621185859418057,13.238908362998282,11.726819497008476,12.061403658516623,14.085361912996994
411,51.33547977559501,27.17203512011243,25.33423185516142,21.01204266179024,19.59822991850019,15.262903419338395,13.39423887619852,11.215132423557463,11.882080088816002,14.240731211076701
412,51.276083114159356,27.14245748248169,25.12434640190655,20.98957928543172,19.577364302334402,15.24685735550347,13.548964321624757,10.871481821290976,11.53622136645688,14.05630589951063
413,50.78639230518079,26.744787944221706,24.915696882453346,21.144487786228307,19.55654088023709,15.230843288499635,13.029732205108756,11.025935794580906,11.690706306321598,13.366256055266497
414,50.29962876861907,26.53242273451757,25.071074816562042,21.477247760786984,19.360947069282705,14.874935734518886,12.848311944279706,10.683555675428833,11.67901933850534,13.521126207852282
415,49.54464345809164,26.841943281216363,25.017030439929407,21.25429349664737,18.970759972430066,15.183446709084327,13.661133795929498,11.15755065349862,11.98723732264999,13.324448255119105
416,49.43111373545165,26.60171670890224,24.963662436544237,21.20952040286003,19.105193690204054,15.152156938308655,13.29719458080563,10.969431584991138,11.631140932408188,13.632656976851598
417,49.37462218716887,26.572989279954395,24.937366670396276,21.363515282508832,19.085009227187733,14.966972210725162,13.283381514755746,11.619116776773819,11.453223803347898,13.450837262290078
418,49.68480624080195,26.69869025804066,25.06489258167026,21.494964584088187,19.21891452992489,14.767436801906129,13.758137938986284,11.76033971730282,11.59510372573366,13.423383941478917
419,50.051055113376314,26.488151337462952,25.038018515565874,21.82507755695472,19.198657446027134,14.9206887674641,13.74386511530132,11.583150057043703,11.418273688971384,13.409471914232045
420,50.148753369802186,26.795676556940307,25.16504732551821,21.955629816173737,19.159227230596954,15.05857709314525,13.382180483249163,11.724471790555775,11.724471790555775,13.382180483249163
421,51.24780543449472,26.891603321383812,25.264664927889115,21.886944333533137,19.445078611378893,15.011705616266843,14.174118417040269,12.017728518670909,11.853179640118567,13.673819084450473
422,51.61456591819133,26.8632207051713,25.059135753104012,22.040053373023824,19.42512833012345,14.828894363967251,13.660161473498512,11.84146441470327,12.00583857208318,13.826562306672296
423,51.92172881652833,26.987013235113597,25.00578798567662,21.99354489330497,19.557019144130965,15.133143956219307,13.964304430037968,11.817206371095267,11.652878916334846,13.964304430037968
424,52.34829078568018,26.805729427572317,25.00578798567662,22.16913992536395,19.384449039211365,14.79825232636517,13.798074368371845,11.325733715309717,11.652878916334846,13.798074368371845
