,dateTime,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
208,2021-05-20 09:29:57,24.0432,24.9225,25.2946,25.8021,26.1743,26.4111,26.648,26.9188,26.9526,26.648
209,2021-05-20 09:29:58,24.0093,24.9225,25.2946,25.8021,26.2081,26.4788,26.648,26.9188,26.9526,26.7157
210,2021-05-20 09:30:00,24.0432,24.9225,25.2946,25.8359,26.1743,26.3435,26.5465,26.9865,26.9865,26.7496
211,2021-05-20 09:30:02,24.077,24.9563,25.3284,25.8697,26.1743,26.4788,26.6819,26.9526,26.9188,26.7157
212,2021-05-20 09:30:03,24.0093,24.9563,25.2946,25.8697,26.1743,26.4111,26.7157,26.9188,26.9865,26.6819
213,2021-05-20 09:30:05,24.077,24.9563,25.2946,25.8697,26.2081,26.445,26.6819,26.9865,27.0203,26.7157
214,2021-05-20 09:30:07,24.077,24.9563,25.2946,25.8697,26.2081,26.4788,26.6819,27.0203,26.9865,26.648
215,2021-05-20 09:30:08,24.0432,24.9563,25.3284,25.9036,26.1743,26.3773,26.7496,27.088,27.088,26.7834
216,2021-05-20 09:30:10,24.077,24.9563,25.3284,25.9036,26.2081,26.4788,26.7834,27.088,27.0542,26.8172
217,2021-05-20 09:30:11,24.077,24.9563,25.2946,25.9374,26.1743,26.4788,26.7496,27.1896,27.0542,26.6819
218,2021-05-20 09:30:13,24.077,24.9563,25.3284,25.9374,26.2419,26.4111,26.8511,27.1219,27.0542,26.8172
219,2021-05-20 09:30:15,24.1108,24.9563,25.3623,25.9374,26.2758,26.445,26.8511,27.1219,27.1219,26.7157
220,2021-05-20 09:30:16,24.077,24.9902,25.3284,25.9712,26.1743,26.4788,26.8511,27.1219,27.1219,26.7834
221,2021-05-20 09:30:19,24.1108,25.0578,25.3284,26.0051,26.2419,26.445,26.8849,27.1219,27.1557,26.7496
222,2021-05-20 09:30:21,24.1108,25.0578,25.3961,26.0051,26.2419,26.4788,26.8511,27.1896,27.1557,26.7834
223,2021-05-20 09:30:23,24.077,25.0578,25.3961,26.0051,26.2419,26.3773,26.9188,27.1896,27.1557,26.7496
224,2021-05-20 09:30:24,24.1108,25.0916,25.3961,26.0389,26.3096,26.5127,26.9188,27.1896,27.1557,26.8849
225,2021-05-20 09:30:27,24.1446,25.1255,25.3961,26.0389,26.3096,26.5465,26.9526,27.2234,27.1557,26.8849
226,2021-05-20 09:30:29,24.1446,25.0916,25.4299,26.0728,26.3435,26.5465,27.0542,27.1896,27.2234,26.8849
227,2021-05-20 09:30:31,24.1108,25.1931,25.3961,26.0728,26.2419,26.5127,26.9188,27.2573,27.2573,26.8849
228,2021-05-20 09:30:32,24.1108,25.1931,25.4299,26.1066,26.2758,26.5465,26.9188,27.2911,27.2573,26.8511
229,2021-05-20 09:30:34,24.1446,25.1593,25.4637,26.1066,26.3096,26.6142,26.9526,27.2911,27.2911,26.9865
230,2021-05-20 09:30:37,24.1784,25.1593,25.4637,26.0728,26.2758,26.6142,26.9188,27.2234,27.325,26.9865
231,2021-05-20 09:30:39,24.2122,25.1593,25.4299,26.1066,26.3096,26.6142,27.0203,27.325,27.2911,26.9188
232,2021-05-20 09:30:40,24.1446,25.2269,25.4299,26.1404,26.2758,26.6142,26.9865,27.2573,27.325,27.0203
233,2021-05-20 09:30:42,24.1446,25.1931,25.4299,26.1404,26.3096,26.648,27.0542,27.3927,27.3588,26.9526
234,2021-05-20 09:30:44,24.1784,25.1931,25.4637,26.1404,26.3435,26.6819,26.9526,27.4265,27.3588,26.9865
235,2021-05-20 09:30:45,24.1446,25.2608,25.4976,26.1743,26.4111,26.7157,27.0203,27.3588,27.325,27.0542
236,2021-05-20 09:30:47,24.1108,25.2269,25.4976,26.1743,26.3773,26.648,27.0542,27.3588,27.3927,27.0203
237,2021-05-20 09:30:49,24.2122,25.2269,25.4976,26.1743,26.445,26.7157,27.0542,27.325,27.325,27.0542
238,2021-05-20 09:30:50,24.1446,25.2269,25.5314,26.1743,26.3773,26.7157,27.0542,27.3588,27.3588,27.0203
239,2021-05-20 09:30:52,24.1108,25.2946,25.5314,26.1743,26.5127,26.7157,27.0203,27.325,27.3588,27.088
240,2021-05-20 09:30:53,24.1446,25.2946,25.4976,26.1743,26.4111,26.6819,27.0203,27.4942,27.3927,26.9865
241,2021-05-20 09:30:55,24.1108,25.2608,25.5314,26.2081,26.445,26.7834,27.1557,27.4604,27.4265,27.0203
242,2021-05-20 09:30:57,24.1108,25.2946,25.5652,26.2081,26.4788,26.7496,27.0542,27.5619,27.3927,27.0542
243,2021-05-20 09:30:58,24.1446,25.2946,25.5652,26.2081,26.5127,26.7496,27.1557,27.5281,27.4942,27.088
244,2021-05-20 09:31:00,24.1108,25.2608,25.5652,26.2419,26.4788,26.7157,27.2234,27.4942,27.4604,27.1557
245,2021-05-20 09:31:02,24.077,25.2608,25.5991,26.2419,26.5127,26.7496,27.1219,27.5619,27.4942,27.1219
246,2021-05-20 09:31:03,24.077,25.2946,25.5991,26.2758,26.5465,26.8511,27.1896,27.4265,27.4265,27.088
247,2021-05-20 09:31:05,24.1108,25.3284,25.6329,26.2419,26.5127,26.8172,27.1896,27.3927,27.4265,27.088
248,2021-05-20 09:31:06,24.077,25.2946,25.6329,26.2758,26.5465,26.8172,27.2234,27.5281,27.4604,27.088
249,2021-05-20 09:31:08,24.1446,25.2946,25.6667,26.2758,26.4788,26.8511,27.2234,27.4942,27.4265,27.1896
250,2021-05-20 09:31:10,24.077,25.3623,25.6667,26.2758,26.4788,26.8172,27.1896,27.4265,27.4604,27.1896
251,2021-05-20 09:31:11,24.1108,25.3284,25.6329,26.2758,26.445,26.8511,27.1219,27.4265,27.4265,27.2234
252,2021-05-20 09:31:13,24.1446,25.3623,25.6667,26.3096,26.5803,26.8849,27.1557,27.4604,27.4604,27.1219
253,2021-05-20 09:31:14,24.1784,25.3284,25.6667,26.2758,26.445,26.8849,27.088,27.4942,27.4265,27.2234
254,2021-05-20 09:31:18,24.1446,25.3623,25.7006,26.2758,26.5127,26.9188,27.2234,27.5281,27.4265,27.2573
255,2021-05-20 09:31:19,24.1446,25.3284,25.7006,26.2758,26.5465,26.8849,27.1896,27.5619,27.4265,27.1557
256,2021-05-20 09:31:21,24.1446,25.3623,25.7344,26.3096,26.4788,26.9188,27.2234,27.4604,27.4942,27.1219
257,2021-05-20 09:31:23,24.1108,25.3961,25.7344,26.3096,26.5803,26.9526,27.1557,27.4604,27.4942,27.1896
258,2021-05-20 09:31:24,24.1446,25.3623,25.7344,26.3096,26.5127,26.9188,27.2573,27.6296,27.4942,27.2573
259,2021-05-20 09:31:26,24.1784,25.3623,25.7682,26.2758,26.5127,26.9526,27.2911,27.7312,27.5619,27.2911
260,2021-05-20 09:31:27,24.1108,25.3623,25.7344,26.3096,26.6142,27.0203,27.325,27.6973,27.5619,27.2573
