,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp
35,2021,2021-03-16 08:59:53,21.7782,28.2729,24.5504,19.7512,22.7246,26.2081,23.9755,17.5229,22.5894,25.6329,25.5652,25.0578,24.8887,23.2655,25.8697,26.1404,26.2419,25.9374,25.7682,984.492,106.266,0.44191957343653593,4.216220829573748,1.3130634765625,2.9354965671415725,0.0048877861240326425,0.0008333333333333334
36,2022,2021-03-16 08:59:55,21.7444,28.2729,24.4828,19.7512,22.7922,26.1743,24.0432,17.4892,22.5894,25.6667,25.5991,25.0578,24.8887,23.2655,25.8697,26.1066,26.2419,25.9374,25.7682,989.216,107.845,0.4442970035361587,4.3135832716449185,1.3137127685546874,2.915195840806723,0.005091104184873715,0.0005555555555555556
37,2024,2021-03-16 08:59:58,21.7444,28.2729,24.6519,19.6837,22.6908,26.2081,24.077,17.4554,22.5894,25.6667,25.5314,25.0578,24.8887,23.2317,25.8359,26.1743,26.2081,25.9036,25.7682,986.854,105.477,0.4386384247771207,4.111287198019039,1.313291015625,2.920894903414587,0.0053921785113681744,0.0008333333333333334
38,2026,2021-03-16 09:00:02,21.7444,28.3067,24.7534,19.7174,22.6908,26.1743,24.1108,17.4217,22.5218,25.6667,25.5652,25.0916,24.9563,23.2655,25.8697,26.1743,26.2081,26.1066,25.8021,986.854,106.266,0.4460884904272642,4.034420547009406,1.312954833984375,2.926071148409231,0.005651419910372786,0.0011111111111111111
39,2029,2021-03-16 09:00:07,21.7106,28.3406,24.9563,19.6837,22.6908,26.2419,24.1108,17.4554,22.5556,25.7344,25.5991,25.0916,24.9563,23.2655,25.9036,26.2081,26.2758,26.0728,25.8359,982.13,107.056,0.4535425981169784,3.8243192917999633,1.3161240234375,2.9493953647230753,0.006237036456447058,0.001388888888888889
40,2030,2021-03-16 09:00:09,21.7106,28.3406,24.7872,19.6837,22.657,26.2419,23.9417,17.4554,22.5218,25.7344,25.5652,25.0578,24.9563,23.2655,25.8697,26.2081,26.2758,25.9036,25.8021,984.492,108.634,0.46446911986936246,4.025062261494401,1.3180802001953125,2.927277836474028,0.006363972490406304,0.0005555555555555556
41,2032,2021-03-16 09:00:12,21.7106,28.3406,24.9902,19.6837,22.6908,26.2419,23.9755,17.3879,22.5218,25.7006,25.5652,25.0916,24.9563,23.2655,25.9036,26.2758,26.3773,25.9036,25.8021,982.13,104.688,0.44759783512421353,3.7860116878664973,1.31812060546875,2.9492159831877793,0.006663292164725676,0.0008333333333333334
42,2033,2021-03-16 09:00:14,21.7106,28.3744,24.9902,19.6499,22.6908,26.2419,24.0432,17.3879,22.5218,25.7682,25.5652,25.0916,24.9902,23.2993,25.9374,26.2419,26.3096,26.0728,25.8021,986.854,108.634,0.46446911986936246,3.8426005458848285,1.320091064453125,2.925709047934081,0.006870360109475861,0.0005555555555555556
43,2036,2021-03-16 09:00:19,21.6768,28.4083,24.9902,19.6161,22.657,26.2419,24.1108,17.3879,22.5218,25.7344,25.5991,25.1931,24.9902,23.3331,26.0051,26.2758,26.3773,26.0389,25.8359,984.492,108.634,0.46446911986936246,3.8719807637224055,1.3179276123046875,2.948177012476964,0.0073880299713513205,0.001388888888888889
44,2038,2021-03-16 09:00:22,21.6768,28.4422,24.9902,19.6161,22.7922,26.2758,23.9417,17.3879,22.488,25.7344,25.5991,25.1931,25.024,23.3669,25.9712,26.3435,26.4111,26.1743,25.8359,991.578,107.845,0.46950862431213364,3.9385277063806874,1.320273193359375,2.9273771711534726,0.007604288921268425,0.0008333333333333334
45,2040,2021-03-16 09:00:26,21.6768,28.4422,24.9902,19.5824,22.7246,26.2419,23.9079,17.2529,22.488,25.7344,25.5991,25.1931,24.9902,23.4007,26.0051,26.3435,26.4111,26.1066,25.8359,984.492,107.056,0.4619024134747204,3.910382258087751,1.3221439208984376,2.949227963800332,0.008010917819533397,0.0011111111111111111
46,2042,2021-03-16 09:00:29,21.643,28.476,25.1255,19.5486,22.6908,26.2758,24.0432,17.3879,22.5218,25.7682,25.5991,25.1931,25.024,23.4007,26.0389,26.4111,26.4788,26.1066,25.8697,986.854,104.688,0.4516766412344553,3.80468476817645,1.320943359375,2.927254985501933,0.008415868704527263,0.0008333333333333334
47,2044,2021-03-16 09:00:33,21.6093,28.5099,25.1931,19.5486,22.7584,26.2758,24.077,17.3204,22.5218,25.7682,25.6329,25.1593,25.024,23.4345,26.0389,26.3773,26.5127,26.0728,25.8697,984.492,106.266,0.45848492623243,3.7575734581998734,1.322043701171875,2.944913723230661,0.008824643595772603,0.0011111111111111111
48,2045,2021-03-16 09:00:34,21.6093,28.5099,25.2269,19.5486,22.7584,26.3096,24.0432,17.3204,22.4542,25.8021,25.6667,25.1593,25.024,23.4007,26.0051,26.3773,26.5803,26.0728,25.8697,989.216,106.266,0.4709126425003785,3.7371283892081397,1.3222598876953124,2.924282583776601,0.008705901329042262,0.0002777777777777778
49,2047,2021-03-16 09:00:38,21.643,28.5099,25.1931,19.5486,22.657,26.3435,23.9755,17.3204,22.5218,25.7344,25.6667,25.2269,25.0578,23.4683,26.1066,26.445,26.5465,26.2081,25.8697,984.492,106.266,0.466753287848289,3.757401702725611,1.3207435302734376,2.9414712355255657,0.009345699208851066,0.0011111111111111111
50,2048,2021-03-16 09:00:40,21.6093,28.5099,25.2608,19.5148,22.7922,26.3096,23.9417,17.2192,22.5218,25.7682,25.7006,25.2269,25.024,23.4683,26.0728,26.4111,26.5803,26.3096,25.9374,984.492,107.056,0.4660521462476182,3.6808767254694925,1.3228446044921875,2.9203644622522873,0.00955344721304397,0.0005555555555555556
51,2050,2021-03-16 09:00:43,21.6093,28.5099,25.1255,19.5486,22.7246,26.3096,24.1108,17.1854,22.4542,25.8021,25.7006,25.2269,25.0578,23.4345,26.1066,26.5127,26.5127,26.3773,25.9374,986.854,104.688,0.4639198117749762,3.843355837509356,1.32521240234375,2.919979243700844,0.009616550115350921,0.0008333333333333334
52,2052,2021-03-16 09:00:46,21.6093,28.5438,25.2608,19.5148,22.7584,26.3435,24.0093,17.2529,22.4542,25.8359,25.7006,25.2269,25.0578,23.4683,26.1066,26.5465,26.5803,26.2081,25.9712,979.768,106.266,0.47505331236103177,3.7014350835789998,1.3213062744140625,2.9177631207987695,0.009926222836146319,0.0008333333333333334
53,2054,2021-03-16 09:00:50,21.5755,28.5776,25.1593,19.481,22.6908,26.3773,24.0432,17.1854,22.4542,25.8697,25.7344,25.1931,25.0916,23.5021,26.1404,26.5803,26.6142,26.2081,26.0051,984.492,105.477,0.4756239561871201,3.8727394061824434,1.3230040283203126,2.935851454973972,0.010339590252030373,0.0011111111111111111
54,2056,2021-03-16 09:00:53,21.5755,28.5776,25.1255,19.481,22.7584,26.3773,23.9755,17.1179,22.488,25.8697,25.7344,25.2269,25.0916,23.5021,26.2081,26.6142,26.7157,26.3435,26.1743,986.854,105.477,0.4715043809039756,3.920416260117648,1.3254591064453125,2.9186755674340774,0.010781980134158322,0.0008333333333333334
55,2058,2021-03-16 09:00:57,21.5417,28.6115,25.0578,19.4473,22.7584,26.3773,24.0432,17.1517,22.4542,25.9374,25.7344,25.2946,25.1255,23.5021,26.2081,26.6142,26.6819,26.2758,26.1743,984.492,103.899,0.46850833284873095,4.026324381107878,1.3255938720703124,2.9386276745650934,0.011054109372623211,0.0011111111111111111
56,2060,2021-03-16 09:01:00,21.5755,28.5776,25.0578,19.4473,22.657,26.445,23.9755,17.1179,22.4542,25.9374,25.7682,25.1931,25.1255,23.5021,26.2419,26.648,26.648,26.4111,26.1743,984.492,106.266,0.4874508932122506,3.987733131053732,1.3246033935546875,2.92299734359186,0.011371804755513965,0.0008333333333333334
57,2062,2021-03-16 09:01:04,21.5079,28.5776,24.9563,19.4135,22.6908,26.445,23.9417,17.1517,22.488,26.0051,25.8021,25.2946,25.1255,23.5359,26.2419,26.648,26.6142,26.4111,26.2081,991.578,103.11,0.4689465625649647,4.1326353637053215,1.328394287109375,2.9272291928947594,0.011928730591319691,0.0011111111111111111
58,2064,2021-03-16 09:01:07,21.5417,28.6115,24.9563,19.3797,22.7584,26.5127,23.9417,17.1517,22.4204,26.0051,25.8021,25.2608,25.1593,23.5021,26.3096,26.6819,26.6819,26.4788,26.2419,982.13,102.321,0.48131440686677124,4.131387483405733,1.3248668212890626,2.9303934496351194,0.01194337269093003,0.0008333333333333334
59,2066,2021-03-16 09:01:11,21.5079,28.6115,25.1593,19.346,22.6232,26.5127,23.9079,17.1179,22.488,26.0389,25.8359,25.3284,25.1931,23.5359,26.3096,26.6819,26.6819,26.5465,26.3096,984.492,103.11,0.47696973221006134,3.9115045531568184,1.3255916748046874,2.930833709688823,0.012666056287088268,0.0011111111111111111
60,2069,2021-03-16 09:01:16,21.5417,28.6453,25.2269,19.3797,22.5894,26.5465,24.0432,17.0167,22.4204,26.0389,25.8021,25.2946,25.1931,23.5359,26.3773,26.7157,26.7834,26.3435,26.2419,991.578,100.743,0.47780561654650966,3.9009067577468284,1.32758154296875,2.9465557452415108,0.012865180849278334,0.001388888888888889
61,2070,2021-03-16 09:01:18,21.5079,28.6792,25.2946,19.346,22.7246,26.5803,23.8741,17.0504,22.4542,26.0728,25.8021,25.3623,25.1593,23.5359,26.4111,26.7157,26.7834,26.3773,26.3096,986.854,101.532,0.4815254701594038,3.8441113257672828,1.326564208984375,2.930697482429273,0.01323549927021641,0.0005555555555555556
62,2072,2021-03-16 09:01:21,21.5417,28.6792,25.3284,19.3122,22.7246,26.5803,23.8403,17.0167,22.3866,26.0051,25.8359,25.2946,25.1931,23.5698,26.445,26.7157,26.7496,26.3773,26.2758,984.492,99.9541,0.4818530773416328,3.7964396927755,1.328716552734375,2.9295649150592475,0.013218334548748583,0.0008333333333333334
63,2074,2021-03-16 09:01:24,21.5079,28.6792,25.2608,19.2784,22.6908,26.6142,23.8741,16.9829,22.4204,26.1404,25.8359,25.3623,25.1931,23.6036,26.445,26.7157,26.7834,26.445,26.2419,984.492,84.9622,0.409571837515949,3.8732075674964617,1.3289000244140625,2.929337683020096,0.013645415407830772,0.0008333333333333334
64,2075,2021-03-16 09:01:26,21.5079,28.7131,25.2946,19.3122,22.657,26.6142,23.9755,17.0504,22.4204,26.0728,25.8359,25.3284,25.2269,23.6036,26.4788,26.7157,26.8172,26.4111,26.2081,984.492,95.2198,0.45901999305457214,3.873320872187764,1.329574462890625,2.9145678637729104,0.013842333630228174,0.0005555555555555556
65,2077,2021-03-16 09:01:30,21.5079,28.7469,25.2946,19.2784,22.7246,26.648,23.8403,17.0167,22.4204,26.1743,25.8359,25.3961,25.2269,23.6374,26.4788,26.7496,26.7834,26.6142,26.2758,984.492,171.757,0.8346510745851269,3.911617857848125,1.32967138671875,2.9438914098524536,0.01455841495880067,0.0011111111111111111
66,2079,2021-03-16 09:01:33,21.5417,28.7131,25.2946,19.2447,22.6232,26.648,23.8741,16.9492,22.3866,26.0389,25.8021,25.4299,25.2269,23.6374,26.5127,26.7496,26.9188,26.648,26.3435,989.216,204.897,1.0037014822961932,3.891728400230229,1.32676611328125,2.929511358764273,0.01501846910376854,0.0008333333333333334
67,2081,2021-03-16 09:01:36,21.5079,28.7469,25.2269,19.2447,22.5894,26.6819,23.8403,16.9492,22.3866,26.1743,25.8359,25.3623,25.2269,23.6374,26.5127,26.7834,26.8511,26.5127,26.3096,989.216,199.374,0.9844160557008511,4.007462768226255,1.327463134765625,2.9168884740509884,0.015644126958047875,0.0008333333333333334
68,2083,2021-03-16 09:01:40,21.5079,28.7131,25.0578,19.2109,22.6908,26.6819,23.7726,16.9492,22.4204,26.1404,25.8697,25.4299,25.2946,23.6374,26.5127,26.7834,26.9865,26.6142,26.4111,986.854,174.125,0.8529434607841688,4.151562999786427,1.32450439453125,2.934559766474296,0.01656938910402704,0.0011111111111111111
69,2085,2021-03-16 09:01:43,21.4741,28.7131,24.9563,19.2109,22.6908,26.6819,23.705,16.9155,22.4204,26.1404,25.8359,25.3961,25.2608,23.6374,26.5127,26.7834,26.8511,26.4788,26.5127,989.216,153.609,0.7524467599000455,4.277251580058129,1.326060546875,2.9385814294304673,0.01705352516656289,0.0008333333333333334
70,2087,2021-03-16 09:01:47,21.4741,28.7808,24.9563,19.2109,22.6908,26.648,23.6374,16.8817,22.4204,26.2081,25.8697,25.4299,25.2608,23.6374,26.5127,26.8172,26.9865,26.5465,26.445,986.854,116.524,0.5662469757561982,4.343933408548484,1.3241866455078126,2.9447589089350874,0.017539331629941854,0.0011111111111111111
71,2089,2021-03-16 09:01:50,21.5079,28.7469,24.8887,19.2447,22.657,26.6819,23.705,16.8817,22.4204,26.2758,25.8359,25.4637,25.2946,23.6374,26.5465,26.8511,26.9865,26.5803,26.5465,984.492,90.4855,0.4432391415407662,4.371521599846372,1.3245482177734376,2.962723990294095,0.017824518654703338,0.0008333333333333334
72,2090,2021-03-16 09:01:52,21.4741,28.7469,25.024,19.2109,22.657,26.6819,23.6374,16.8817,22.4204,26.1743,25.8359,25.4299,25.2946,23.6712,26.5803,26.8849,26.9865,26.6142,26.5127,984.492,68.3922,0.33501610773090046,4.218413520197181,1.32565283203125,2.9515621303139827,0.01796822173814317,0.0005555555555555556
73,2092,2021-03-16 09:01:55,21.4403,28.7469,25.0578,19.2109,22.7246,26.6819,23.6712,16.7805,22.3866,26.2419,25.8697,25.4976,25.3284,23.6712,26.5803,26.8849,26.9865,26.6142,26.5465,984.492,47.8769,0.23639385806165342,4.1803061477326136,1.325621337890625,2.9542058430172657,0.017898897293660315,0.0008333333333333334
74,2093,2021-03-16 09:01:57,21.4403,28.7469,25.2608,19.1771,22.5894,26.6819,23.6374,16.8817,22.4204,26.2758,25.9036,25.4637,25.2946,23.705,26.6142,26.8849,27.0203,26.7834,26.5127,984.492,32.885,0.1610856896361085,3.9502765611153583,1.3236634521484376,2.954466389328235,0.018189420147368754,0.0005555555555555556
75,2095,2021-03-16 09:02:01,21.4741,28.7469,25.2608,19.1434,22.5894,26.7157,23.6712,16.848,22.3866,26.3435,25.9374,25.4976,25.3284,23.6712,26.648,26.9188,27.0203,26.8511,26.5803,984.492,23.4165,0.11652960248490458,3.9500957245049286,1.3183304443359376,2.955174033463309,0.018065892649830228,0.0011111111111111111
76,2097,2021-03-16 09:02:04,21.4065,28.7808,25.2269,19.1434,22.5894,26.648,23.7388,16.8142,22.3866,26.2758,25.9374,25.4637,25.3284,23.705,26.648,26.9188,27.0542,26.7496,26.5803,984.492,17.1041,0.08378556310410752,4.027288485097495,1.3198211669921875,2.9687961528048383,0.018119146915141857,0.0008333333333333334
